Ratio of CH4 in Feed,Reaction Temperature,Ni Loading,Reaction Time,Pore Size,Pore Volume,Surface Area,H2-TPR Peak Temperature,Ni Particle Size,GHSV,CH4 Conversion,CO2 Conversion,Syngas_Ratio,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
0.333,700.0,10.0,1.0,6.26,0.44,283.61,788.0,4.94,24000.0,36.3,84.4,1.24,0.7296941,1.0773716,0.88130385,-0.0022965607,-0.0722016,-0.15130936,-0.474108,-0.00048373148,-0.02318822,0.19033487
0.333,550.0,10.0,1.0,6.26,0.44,283.61,788.0,4.94,24000.0,19.9,42.4,0.95,0.7296941,1.0773716,0.88130385,-0.0022965607,-0.0722016,-0.15130936,-0.474108,-0.00048373148,-0.02318822,0.19033487
0.333,650.0,10.0,1.0,7.77,0.56,291.59,800.0,4.56,24000.0,41.3,70.5,1.15,0.7296941,1.0773716,0.88130385,-0.0022965607,-0.0722016,-0.15130936,-0.474108,-0.00048373148,-0.02318822,0.19033487
0.333,550.0,10.0,1.0,7.77,0.56,291.59,800.0,4.56,24000.0,23.0,40.0,0.91,0.7296941,1.0773716,0.88130385,-0.0022965607,-0.0722016,-0.15130936,-0.474108,-0.00048373148,-0.02318822,0.19033487
0.333,600.0,10.0,1.0,7.77,0.56,291.59,800.0,4.56,24000.0,32.9,54.4,1.09,0.7296941,1.0773716,0.88130385,-0.0022965607,-0.0722016,-0.15130936,-0.474108,-0.00048373148,-0.02318822,0.19033487
0.333,700.0,10.0,1.0,7.77,0.56,291.59,800.0,4.56,24000.0,48.6,84.5,1.24,0.7296941,1.0773716,0.88130385,-0.0022965607,-0.0722016,-0.15130936,-0.474108,-0.00048373148,-0.02318822,0.19033487
0.333,600.0,10.0,1.0,6.53,0.48,294.15,785.0,4.71,24000.0,28.9,54.5,1.08,1.2958497,1.0699971,0.5794961,-0.1066682,0.07169186,-0.16138545,-0.3338451,-0.044752322,0.15452564,-0.020645102
0.333,700.0,10.0,1.0,6.53,0.48,294.15,785.0,4.71,24000.0,43.5,86.2,1.33,1.2958497,1.0699971,0.5794961,-0.1066682,0.07169186,-0.16138545,-0.3338451,-0.044752322,0.15452564,-0.020645102
0.333,650.0,10.0,1.0,6.53,0.48,294.15,785.0,4.71,24000.0,35.5,72.7,1.21,1.2958497,1.0699971,0.5794961,-0.1066682,0.07169186,-0.16138545,-0.3338451,-0.044752322,0.15452564,-0.020645102
0.333,550.0,10.0,1.0,6.53,0.48,294.15,785.0,4.71,24000.0,26.3,39.7,0.9,1.2958497,1.0699971,0.5794961,-0.1066682,0.07169186,-0.16138545,-0.3338451,-0.044752322,0.15452564,-0.020645102
0.333,700.0,10.0,1.0,6.78,0.49,288.99,813.0,4.68,24000.0,34.5,87.0,1.25,1.1942474,1.105739,0.91852456,-0.09337305,-0.22788821,-0.14299749,-0.2285462,-0.10910488,0.17855947,0.25836864
0.333,550.0,10.0,1.0,6.78,0.49,288.99,813.0,4.68,24000.0,18.0,40.0,0.924,1.1942474,1.105739,0.91852456,-0.09337305,-0.22788821,-0.14299749,-0.2285462,-0.10910488,0.17855947,0.25836864
0.333,600.0,10.0,1.0,6.78,0.49,288.99,813.0,4.68,24000.0,24.0,57.3,1.06,1.1942474,1.105739,0.91852456,-0.09337305,-0.22788821,-0.14299749,-0.2285462,-0.10910488,0.17855947,0.25836864
0.333,650.0,10.0,1.0,6.78,0.49,288.99,813.0,4.68,24000.0,29.63,73.5,1.15,1.1942474,1.105739,0.91852456,-0.09337305,-0.22788821,-0.14299749,-0.2285462,-0.10910488,0.17855947,0.25836864
0.333,550.0,10.0,1.0,7.57,0.59,312.86,786.0,4.33,24000.0,19.0,41.3,0.99,1.1942474,1.105739,0.91852456,-0.09337305,-0.22788821,-0.14299749,-0.2285462,-0.10910488,0.17855947,0.25836864
0.333,600.0,10.0,1.0,7.57,0.59,312.86,786.0,4.33,24000.0,23.9,56.0,1.11,1.1942474,1.105739,0.91852456,-0.09337305,-0.22788821,-0.14299749,-0.2285462,-0.10910488,0.17855947,0.25836864
0.333,650.0,10.0,1.0,7.57,0.59,312.86,786.0,4.33,24000.0,29.65,71.0,1.17,1.1942474,1.105739,0.91852456,-0.09337305,-0.22788821,-0.14299749,-0.2285462,-0.10910488,0.17855947,0.25836864
0.333,700.0,10.0,1.0,7.57,0.59,312.86,786.0,4.33,24000.0,36.3,85.3,1.3,1.1942474,1.105739,0.91852456,-0.09337305,-0.22788821,-0.14299749,-0.2285462,-0.10910488,0.17855947,0.25836864
0.5,800.0,9.4,72.0,7.3,0.5,208.0,800.0,5.0,270000.0,70.72,84.15,0.89,1.4238286,-0.2722068,0.36898348,0.74713355,-0.8790061,0.11681673,0.4790468,0.54544896,-0.3102874,0.10157228
0.5,800.0,9.4,48.0,7.3,0.5,208.0,800.0,5.0,270000.0,70.72,84.15,0.925,1.4238286,-0.2722068,0.36898348,0.74713355,-0.8790061,0.11681673,0.4790468,0.54544896,-0.3102874,0.10157228
0.5,800.0,9.4,24.0,7.3,0.5,208.0,800.0,5.0,270000.0,72.376,86.34,0.9,1.4238286,-0.2722068,0.36898348,0.74713355,-0.8790061,0.11681673,0.4790468,0.54544896,-0.3102874,0.10157228
0.333,550.0,10.0,1.0,8.71,0.61,282.34,789.0,4.88,24000.0,19.2,42.0,1.07,1.4074836,0.96716577,0.2213291,0.27519697,-0.41522837,-0.36397687,0.23259334,0.2588831,-0.10530193,0.35142726
0.333,600.0,10.0,1.0,8.71,0.61,282.34,789.0,4.88,24000.0,26.7,57.3,1.18,1.4074836,0.96716577,0.2213291,0.27519697,-0.41522837,-0.36397687,0.23259334,0.2588831,-0.10530193,0.35142726
0.333,700.0,10.0,1.0,8.71,0.61,282.34,789.0,4.88,24000.0,37.8,85.5,1.32,1.4074836,0.96716577,0.2213291,0.27519697,-0.41522837,-0.36397687,0.23259334,0.2588831,-0.10530193,0.35142726
